Wavelength,Daylight Window,Daylight Direct
370.1,0.0023,0.0085
370.3,0.0030,0.0113
370.5,0.0023,0.0107
370.8,0.0035,0.0106
371.0,0.0075,0.0098
371.2,0.0041,0.0106
371.4,0.0029,0.0107
371.6,0.0048,0.0084
371.8,0.0047,0.0074
372.0,0.0049,0.0101
372.3,0.0048,0.0104
372.5,0.0020,0.0104
372.7,0.0034,0.0104
372.9,0.0020,0.0100
373.1,0.0062,0.0117
373.3,0.0021,0.0074
373.6,0.0061,0.0138
373.8,0.0038,0.0100
374.0,0.0031,0.0100
374.2,0.0047,0.0088
374.4,0.0041,0.0106
374.6,0.0020,0.0100
374.8,0.0028,0.0100
375.1,0.0025,0.0093
375.3,0.0061,0.0109
375.5,0.0024,0.0111
375.7,0.0044,0.0123
375.9,0.0035,0.0101
376.1,0.0037,0.0104
376.4,0.0057,0.0125
376.6,0.0039,0.0131
376.8,0.0035,0.0119
377.0,0.0046,0.0095
377.2,0.0041,0.0116
377.4,0.0066,0.0132
377.7,0.0031,0.0094
377.9,0.0054,0.0151
378.1,0.0013,0.0148
378.3,0.0076,0.0160
378.5,0.0055,0.0144
378.7,0.0044,0.0169
378.9,0.0068,0.0162
379.2,0.0042,0.0185
379.4,0.0087,0.0156
379.6,0.0076,0.0150
379.8,0.0035,0.0148
380.0,0.0050,0.0157
380.2,0.0055,0.0136
380.5,0.0059,0.0163
380.7,0.0041,0.0140
380.9,0.0045,0.0137
381.1,0.0051,0.0145
381.3,0.0044,0.0202
381.5,0.0072,0.0139
381.8,0.0060,0.0168
382.0,0.0067,0.0171
382.2,0.0068,0.0184
382.4,0.0067,0.0167
382.6,0.0073,0.0185
382.8,0.0051,0.0155
383.1,0.0072,0.0130
383.3,0.0031,0.0156
383.5,0.0069,0.0132
383.7,0.0038,0.0119
383.9,0.0066,0.0127
384.1,0.0032,0.0120
384.4,0.0049,0.0119
384.6,0.0027,0.0110
384.8,0.0064,0.0149
385.0,0.0067,0.0147
385.2,0.0053,0.0165
385.4,0.0070,0.0178
385.7,0.0095,0.0165
385.9,0.0068,0.0218
386.1,0.0084,0.0171
386.3,0.0069,0.0189
386.5,0.0084,0.0208
386.7,0.0048,0.0184
387.0,0.0061,0.0208
387.2,0.0105,0.0192
387.4,0.0104,0.0240
